qdate,yield1,yield2,yield3,yield4,yield5
1952-06-30,1.8390447289671,1.9094329752719,1.9751411606778,1.9128122484103,2.016681259535
1952-07-31,1.9236276207772,2.0274979415143,2.09072918517,1.9993805900283,2.1390484454062
1952-08-29,1.9506124185597,2.0485160779311,2.1360283099551,2.0407651301476,2.2002069186137
1952-09-30,1.9884517391163,2.0881068789044,2.1494679388527,2.0598495110477,2.2917837820973
1952-10-31,1.9125448040957,2.0600319606682,2.1483427163306,2.1023959582886,2.1672628003376
1952-11-28,2.0545477967465,2.1695071666332,2.1863730037466,2.1134929931564,2.1843991220561
1952-12-31,1.9980839282397,2.1907336417787,2.2112421907105,2.1090326505609,2.2085656926372
1953-01-30,1.9734958362626,2.1444690396343,2.1315328097772,2.1327378277337,2.2673045156084
1953-02-27,2.0765877477831,2.1929463933838,2.1773279721708,2.1858603386869,2.3454805927808
1953-03-31,2.0742052204431,2.2143717403382,2.352056637175,2.358936020216,2.4833252593899
1953-04-30,2.3642006011423,2.483449376971,2.1947545811508,2.4213905641414,2.6902734233391
1953-05-29,2.5952844272856,2.654605025946,2.41155361459,2.6242461499075,3.0356604322421
1953-06-30,2.4207484723596,2.4430178000381,2.3064287511265,2.439741795632,2.7915218535537
1953-07-31,2.2919358575516,2.3364136583165,2.2787948116639,2.4205762202413,2.7157653097272
1953-08-31,2.371279111689,2.2599545645748,2.2945301081028,2.4635094918282,2.7895654078594
1953-09-30,2.0241090213926,2.114831159046,2.2452558299474,2.2266183221542,2.42493699431
1953-10-30,1.6639400253535,1.8293497433927,1.9326771328517,2.0425794197066,2.2495634901791
1953-11-30,1.5768045111688,1.8493702393289,1.9070661428358,2.0421224793904,2.4222616356476
1953-12-31,1.5744963841361,1.7995008871216,1.9616303347254,1.9504135374541,2.2122096163306
1954-01-29,1.1540144102315,1.440317099354,1.6708688143484,1.6937380006366,2.1232114714613
1954-02-26,1.1003291718618,1.2936592118928,1.4962385557484,1.6281248740824,1.8791966337814
1954-03-31,1.0584944007474,1.2118480209426,1.4255341313162,1.5968924735096,1.8174783919258
1954-04-30,0.83752886007756,1.1360692070735,1.3820043602031,1.5444557499829,1.5792542756228
1954-05-28,0.84796737225453,1.0979357221458,1.4291535610504,1.8251640328237,1.7739923510021
1954-06-30,0.73165959965104,0.91252896610487,1.3196040225389,1.6478813548757,1.7668413419083
1954-07-30,0.63280751240737,0.92031285659392,1.3315605036619,1.6025839775792,1.7485648932271
1954-08-31,0.82402047640524,0.92388142975342,1.3303044447895,1.6057779793103,1.8157602792564
1954-09-30,0.9390622631637,1.0530238568045,1.5220843326499,1.6307972808351,1.8805722405949
1954-10-29,1.0458590361322,1.3039806094656,1.5905909503765,1.7793068310525,1.8456127706575
1954-11-30,1.0420896868331,1.340629546651,1.6045193888668,1.8771642023004,1.9411170369391
1954-12-31,1.1389241527366,1.4828321482804,1.7134582727421,1.9889452450534,2.0264359622487
1955-01-31,1.2929979543141,1.7673750276711,1.8784391180403,2.110094317434,2.1345776693338
1955-02-28,1.6545216351543,1.8997186979871,2.0742946315552,2.3321013602172,2.3430792909469
1955-03-31,1.5584459548066,2.0303329445005,2.1842697232891,2.2826411745672,2.3388438912159
1955-04-29,1.6301020958009,2.1046693358036,2.282299861707,2.2751825726252,2.3399318159488
1955-05-31,1.8116717429321,2.0488673885804,2.3252091802989,2.314656278148,2.3903564557768
1955-06-30,1.8391172343443,2.1658956062345,2.4253657476892,2.4463709116842,2.5128153953006
1955-07-29,2.0046446152902,2.3135163591736,2.511720981954,2.5217468231496,2.6735712073846
1955-08-31,2.1405978575206,2.5394985499005,2.6447863337429,2.6379427504854,2.7621613559634
1955-09-30,1.9984328229254,2.3844290398804,2.4857174725944,2.5773482012482,2.6566589285958
1955-10-31,2.0697491553461,2.3055867997266,2.4389313392226,2.5036994771537,2.5360983334035
1955-11-30,2.5723836659168,2.4645418377591,2.7526957655427,2.5888933659837,2.7228404866912
1955-12-30,2.6531034552236,2.6254197375463,2.8050193406995,2.6310431821105,2.8002076528139
1956-01-31,2.3705126669949,2.4697571135014,2.5807515954015,2.5794767961935,2.6305610852728
1956-02-29,2.5112411141642,2.4487787507088,2.6288876679617,2.6145153581635,2.6907824483024
1956-03-29,2.5189483704394,2.7068806465059,2.7062581835015,2.7229029513385,2.9694779652982
1956-04-30,2.9413722489632,3.1509852682936,3.0575082220976,2.9220794760429,3.044343432772
1956-05-31,2.8301095469761,2.8945726104773,2.8441762183694,2.8717952096941,2.9118593596782
1956-06-29,2.5495806829881,2.8188715990481,2.7805113505518,2.8263461618818,2.8428327556698
1956-07-31,2.7161770271685,3.1056214102961,2.9171599642717,3.0658317940824,3.1287557149366
1956-08-31,3.124545041657,3.1873723102534,3.2304364781944,3.3826735208747,3.4378914537076
1956-09-28,3.1810194427174,3.2238515143224,3.3230104815108,3.4416451336117,3.5007271169904
1956-10-31,3.0798433057308,3.2132299065928,3.2331006476368,3.3539897183484,3.4626155226064
1956-11-30,3.4274971815301,3.4951819931653,3.5661626520065,3.4829322872189,3.6202585842347
1956-12-31,3.4442563243579,3.5749862759436,3.5393292080144,3.5276991181019,3.6641739781533
1957-01-31,2.9731442881446,3.3002557682986,3.2231200423906,3.2311953463785,3.3097848916038
1957-02-28,3.2350057535293,3.3698647061906,3.3603088211338,3.3712684176763,3.3822688597658
1957-03-29,3.3787899564062,3.2249574117781,3.2740749130982,3.3881378123217,3.3974294103128
1957-04-30,3.4765587632356,3.2361743311851,3.4725946384951,3.5094104956671,3.5376746934068
1957-05-31,3.4928601745874,3.3910005545233,3.6023889443778,3.6387244314725,3.7071857485933
1957-06-27,3.5808036444976,3.5127718289047,3.7130380564509,3.8456421438224,3.9460548185901
1957-07-31,3.8863022220666,3.6588885186263,3.796699071307,3.9225614374169,4.0427621726144
1957-08-30,3.8906818643733,3.6573381721208,3.7825523137313,3.8438449738601,3.7427360231387
1957-09-30,4.0372485409696,3.8799858932705,3.8825019669264,3.9246558878724,4.0837009139949
1957-10-31,3.8175888369108,3.9725936721818,4.0025027780021,4.0862295479797,3.8501739620479
1957-11-29,3.4440852730543,3.0312702284143,3.084271240711,3.2992925721039,3.4490396181789
1957-12-31,2.6857517851664,2.5457752946798,2.6961502775326,2.8323803521329,2.8253229432564
1958-01-31,2.0569271217879,2.237941290439,2.4414532858448,2.746871415405,2.8320649975142
1958-02-28,1.7339819060812,1.905412929573,2.1699817495252,2.4964146436721,2.6105005423492
1958-03-31,1.496299792077,1.9383471268283,2.1828431621893,2.3847513554208,2.5375131138036
1958-04-30,1.2753109011539,1.6573766667934,1.9851117630465,2.1971524936041,2.4393215729628
1958-05-29,1.1194546226198,1.4794471914959,1.9344900112781,2.0309504653886,2.3690556011122
1958-06-30,1.0999651511029,1.6663812158319,2.1979458053074,2.4896742917385,2.5612100957783
1958-07-31,1.6130295824007,1.8794226943839,2.4426005143442,2.76938705327,2.8215543316099
1958-08-29,2.7737280562092,3.3362981251308,3.3983156868723,3.6457369882023,3.6250566623379
1958-09-30,2.9801360273912,3.3957733256377,3.4733044770456,3.6746636956489,3.7080834950661
1958-10-31,3.0333038180131,3.2631486149319,3.6592865625241,3.6095144826938,3.6376011200425
1958-11-28,3.2221982946835,3.195496291526,3.5535168895934,3.6149018353443,3.4100542522643
1958-12-31,2.9536654768777,3.1206004855984,3.631477737294,3.7290431303331,3.7632531250519
1959-01-30,3.1091904650545,3.3761544028341,3.8301395325334,3.9501753763641,3.928203249052
1959-02-27,3.4435447291813,3.4058235637127,3.630655057115,3.7787945801365,3.7555055709446
1959-03-31,3.5446068545255,3.7021962155749,3.8222259592794,3.8476648953475,3.9127462605762
1959-04-30,3.7896665850416,3.9045691549545,3.9312970118764,4.0748020096086,4.08493522364
1959-05-29,3.8431392270355,3.9688900214448,4.1220386596705,4.1796895583564,4.2307423222769
1959-06-30,4.0831019961431,4.2861824561993,4.2760092151586,4.4145219596696,4.4325815957697
1959-07-31,4.3269466252538,4.1046954778244,4.2154696199914,4.4118339591463,4.5562542281113
1959-08-31,4.4838437761638,4.4646448388138,4.5321788305369,4.6649425104344,4.6973140920221
1959-09-30,4.7900583705521,4.7554189397753,4.7380614814183,4.7538698464955,4.6874149890904
1959-10-30,4.1787525901324,4.2192973508938,4.4962771557797,4.5300994939131,4.2425452676307
1959-11-30,4.8143589050434,4.7647373716866,4.7786429887654,4.8553849643312,4.587721685903
1959-12-31,4.8604669380707,4.9203821438333,4.9876653517702,4.880153250117,4.8105494818554
1960-01-29,4.6327518206166,4.6378878873215,4.6922453065004,4.6632306468736,4.6551068154452
1960-02-29,4.5578376456324,4.4114730656224,4.6572125744458,4.6201272503295,4.5871271855649
1960-03-31,3.6226617949884,3.7586334742208,3.8299193338097,3.9883219968851,4.0432869389487
1960-04-29,4.1467061511377,4.0485916517481,4.1937024462853,4.3728147153481,4.2180049514313
1960-05-31,4.03165504506,4.1704869434535,4.1408203356151,4.2946757161418,4.3988147202408
1960-06-30,3.1688928423126,3.6993851809892,3.7523477686295,3.9500697465504,3.9785960618652
1960-07-29,2.8363672311146,3.0977206810776,3.1078067147263,3.4932043663281,3.4222287532277
1960-08-31,2.8979990358945,2.9642050675307,3.2749297610293,3.5228328210444,3.5109851310231
1960-09-30,2.846958282119,2.7097091343385,3.3359390948809,3.6009451213694,3.4924778956684
1960-10-31,2.8272371582765,3.0630491268967,3.4110640217363,3.6365439159959,3.5569668630944
1960-11-30,3.0110975479039,3.189256680777,3.5131857040275,3.8420705170318,3.6793328315211
1960-12-30,2.6349000345392,2.7805717247132,3.1098561286897,3.347056346535,3.4335381979799
1961-01-31,2.7831065100554,3.133771890803,3.3653457119652,3.5948797349123,3.631580122245
1961-02-28,2.9744318791313,3.102343318085,3.3106825666829,3.4631080161207,3.4882379777651
1961-03-30,2.8964026460305,2.9100034676206,3.1473983465108,3.2756721440784,3.4422526672342
1961-04-28,2.8719823678345,3.052598074155,3.2113074477596,3.118692472915,3.3462167233445
1961-05-31,2.9291645382016,3.2104392072848,3.4203833297665,3.2482824665334,3.5378902363332
1961-06-30,2.9978781686372,3.2571057926007,3.5129106859727,3.6276080938182,3.6277489751211
1961-07-31,2.8900535700611,3.154573239342,3.6279887883201,3.6303367633147,3.6376760798139
1961-08-31,3.047568614857,3.2529697169957,3.6281774870643,3.8030495851514,3.6618439960173
1961-09-29,2.9774555463381,3.0997697464845,3.6171571488414,3.6389449840168,3.5859957123828
1961-10-31,2.9373095963148,3.165930024384,3.5029237736728,3.5087746452029,3.6817394072037
1961-11-30,2.9698297603485,3.3052610410238,3.618412514129,3.5262216352947,3.7804630917756
1961-12-29,3.1094835257503,3.3844863117058,3.7052071203132,3.726765735599,3.8489355410233
1962-01-31,3.2923274596137,3.4970677779321,3.8017052685674,3.8754238795155,3.9544908001519
1962-02-28,3.1347503171195,3.2463803535562,3.4718407445148,3.5908202917192,3.7051902652029
1962-03-30,2.8865909804051,3.1450580403444,3.3220297154137,3.5110365081717,3.5802946973919
1962-04-30,3.0061531776127,3.2751668684561,3.3651557753999,3.5760778868553,3.605422626275
1962-05-31,2.9430852483761,3.1662434274548,3.3210583133564,3.5204501582579,3.5775073378274
1962-06-29,3.0712127760699,3.3774720194703,3.4806610806074,3.6102472099308,3.6521043912119
1962-07-31,3.3081420450779,3.4354149519196,3.5452425682126,3.6450195315164,3.7227436626114
1962-08-31,3.0341130788382,3.1644036741492,3.3453505256663,3.4672648275629,3.5379303627277
1962-09-28,2.9627933422725,3.0755481673211,3.3202553241576,3.4638641550249,3.6642717243932
1962-10-31,2.9220203939586,3.0899881927871,3.3129721598323,3.4033146468514,3.6154743564635
1962-11-30,2.9216785644424,3.1979566247053,3.371909747751,3.4278873198231,3.5347200474758
1962-12-31,2.9779629301925,3.2042760022105,3.3799346565259,3.40925963792,3.491359858187
1963-01-31,3.0294693392334,3.06328194358,3.3976042064584,3.4653353504804,3.6023299878889
1963-02-28,2.9610005650114,3.1081288910221,3.4002684472133,3.4928962128802,3.6507393937259
1963-03-29,3.0271578408997,3.1688569404105,3.4248757252556,3.6128921182456,3.6714987696775
1963-04-30,3.0986611837805,3.2773396282123,3.5214734454139,3.6394090925885,3.6798009666183
1963-05-31,3.1499458233018,3.2806213721503,3.5499318377077,3.6855940989193,3.7365014516367
1963-06-28,3.1257007490444,3.2785651001632,3.5351512848128,3.7134923228382,3.7706895538333
1963-07-31,3.4873719840196,3.6191873959076,3.6629173363889,3.8037677391456,3.8393565584265
1963-08-30,3.6870898176458,3.6498548511698,3.6726505277705,3.8406152859333,3.8781166076901
1963-09-30,3.697425743398,3.6645541991917,3.6846978164897,3.8551760816876,3.9190456996798
1963-10-31,3.6664578971086,3.7627694250452,3.7477455074852,3.9291303084948,3.9780776756926
1963-11-29,3.792366212656,3.8023584412307,3.7858760382862,3.9002825468146,3.9459612913302
1963-12-31,3.8290343153622,3.9076944098009,3.9251074869064,4.0076850702595,4.0042673473609
1964-01-31,3.7893073265197,3.8929962400769,3.9386295582801,3.9428543547593,3.9839286738489
1964-02-28,3.9474269829566,3.9811143264463,4.0248572706763,4.0103491544272,4.0230308296338
1964-03-31,3.9104535149922,4.0763631931671,4.1250494358037,4.1449128588836,4.0727317499416
1964-04-30,3.7829186990149,3.9781381044931,4.047340173014,4.0821956621312,4.0768976071565
1964-05-28,3.8322698824528,3.9181476983215,3.9641699047925,4.0211211105019,3.9792687246177
1964-06-30,3.7795392952362,3.778503957642,3.8935326439912,3.9724796673846,3.9773172034309
1964-07-31,3.7588025845087,3.6639463454947,3.8682403464727,3.9704650288565,4.0059631508219
1964-08-31,3.8130300123298,3.7337627705982,3.9022138850707,3.9910159771051,4.0220379641095
1964-09-30,3.8973292317507,3.7971951384241,3.9390216220343,3.9952352808298,3.9909285799384
1964-10-30,3.9061338258012,3.8617932291829,3.9734301366756,3.9985912305129,4.0054509840389
1964-11-30,4.2140830419709,4.0277850346264,4.0941808257661,4.0811047639587,4.0694281164987
1964-12-31,4.0503037416103,3.9333364075243,3.975228868941,3.9994500971758,4.0756219920504
1965-01-29,4.0771658233767,3.9275775774283,3.9404646646997,3.9742537943267,4.0782335761751
1965-02-26,4.2040039374361,4.034194683044,3.9966231119949,4.0022535554058,4.1211247160619
1965-03-31,4.1400878948354,4.0264933545977,4.024219440025,4.0034391956604,4.1010985183284
1965-04-30,4.0974497343683,4.0247665293254,4.0393681484211,4.0187259838125,4.1166819428729
1965-05-28,4.0773958301816,4.0303777217292,4.0357087007994,4.0169449017966,4.1204062083269
1965-06-30,3.9764244463099,3.9317456138905,4.0044583759228,4.0173985879156,4.0935291960088
1965-07-30,4.0178218018018,3.9994806590288,4.0484370118823,4.1124569909586,4.1210472215409
1965-08-31,4.1717927587646,4.0867375891364,4.145218829818,4.1649988427801,4.1536885011148
1965-09-30,4.3463617476054,4.245941342266,4.2637625762694,4.2677642873381,4.2479952321988
1965-10-29,4.3521845293917,4.2553860234576,4.2820253836481,4.342730056934,4.320298632705
1965-11-30,4.4364169272369,4.2906777616273,4.3980465943354,4.4318560994727,4.3950685063835
1965-12-31,4.8856956634329,4.8080119427949,4.8898406544948,4.8775433874168,4.7702149270387
1966-01-31,4.9198245167624,4.8235841058953,4.9011674171337,4.9049200566785,4.8262615166113
1966-02-28,4.9797868817482,4.89999273629,4.9446417857372,4.9940175382575,4.9517292674598
1966-03-31,4.9304757526322,4.7257042465932,4.739927069268,4.779420655795,4.7267054538537
1966-04-29,4.9901939564553,4.832348095627,4.857910365229,4.8402949017316,4.7969564960396
1966-05-31,5.090375140023,5.0038797690535,4.9847291280689,4.9975521453085,4.8837385148241
1966-06-30,5.106379519743,5.0784920072065,5.1204788563094,5.1126197026006,5.0073774826781
